
episode,successRate,rewardValue,timeRemaining

episode,successRate,rewardValue,timeRemaining

episode,successRate,rewardValue,timeRemaining

episode,successRate,rewardValue,timeRemaining

episode,successRate,rewardValue,timeRemaining

episode,successRate,rewardValue,timeRemaining
1,S,1,497
1,S,1,496
1,S,1,463
2,D,-0.2,109
1,D,-0.2,57
2,S,1,499
3,S,1,477
4,S,1,497
1,T,0.8,0
1,T,0.2,0
2,T,1,0
2,T,1,0
3,S,0.8,378
2,D,-0.2,118
5,T,0.8,0
2,T,0.4,0
3,T,0.4,0
3,T,0.6,0
3,S,0.2,343
4,T,0.2,0
5,S,0.8,455
4,S,0.8,444
6,S,1,450
5,S,1,447
6,D,-0.2,175
7,S,1,437
6,D,-0.2,257
8,S,1,459
3,T,0.4,0
4,T,0.4,0
4,T,0.4,0
7,T,-0.2,0
7,T,2.980232E-08,0
9,T,0.8,0
4,T,0.8,0
5,T,0.2,0
5,T,0.8,0
8,T,0.4,0
8,S,0.8,96
10,S,0.6,65
6,S,0.2,162
7,S,1,492
5,T,0.6,0
6,T,0.2,0
9,T,0.4,0
11,S,1,61
9,T,0.4,0
8,T,0.2,0
6,T,1,0
7,T,0.2,0
10,T,0.6,0
10,D,-0.2,99
11,S,0.8,435
12,S,1,494
12,T,0.4,0
13,S,1,453
9,T,0.4,0
11,S,0.8,268
7,T,0.4,0
8,T,0.6,0
8,S,1,493
9,S,1,473
10,S,1,491
11,S,1,464
14,D,-0.2,154
15,S,1,480
12,S,1,365
13,S,1,447
13,T,-0.2,0
16,S,0.8,383
17,S,1,468
10,T,0.8,0
12,T,0.6,0
18,S,0.8,434
9,T,1,0
14,T,0.8,0
14,T,2.980232E-08,0
13,S,0.2,85
11,T,1,0
14,S,1,428
19,T,-0.2,0
12,S,1,444
13,S,0.6,405
10,T,0.8,0
14,S,1,495
15,S,1,455
15,T,0.4,0
15,T,0.6,0
16,S,1,489
15,T,1,0
20,T,0.6,0
11,T,0.8,0
12,S,1,478
16,T,1,0
13,S,0.6,427
14,S,1,495
15,S,1,490
16,S,1,482
17,S,0.6,25
16,T,0.8,0
16,T,0.8,0
18,S,1,388
21,D,-0.2,28
17,T,1,0
17,T,0.6,0
19,S,1,113
20,S,1,491
17,T,0.4,0
18,S,1,199
17,T,0.6,0
22,T,-0.2,0
19,S,1,457
21,S,0.8,354
20,S,1,471
22,S,1,479
23,S,1,479
21,S,1,462
22,S,1,475
18,S,0.6,369
23,S,1,432
19,S,1,432
24,S,1,470
24,S,1,345
25,S,1,468
18,T,1,0
26,S,1,416
18,T,0.8,0
23,T,1,0
25,S,1,180
26,S,1,460
20,S,0.8,15
27,S,1,407
28,S,1,459
29,S,1,492
19,T,1,0
20,S,1,480
30,S,1,430
27,T,0.8,0
19,T,0.8,0
21,S,1,321
22,S,1,469
24,T,0.6,0
23,S,1,449
24,S,1,468
31,S,0.6,210
25,S,1,470
26,S,1,475
21,T,0.8,0
27,S,0.6,438
28,S,1,498
29,S,1,441
20,S,1,119
32,S,0.6,308
21,S,1,462
28,T,0.2,0
25,S,0.6,106
22,S,0.6,236
26,S,0.8,438
33,S,1,322
34,S,1,487
23,S,0.8,430
35,S,1,456
24,S,1,482
36,S,1,450
27,S,0.8,371
30,S,0.6,150
25,S,1,422
37,S,1,462
31,S,1,438
28,S,0.6,417
32,S,1,469
38,S,1,387
33,S,1,469
34,S,1,472
35,S,1,491
22,T,0.2,0
29,T,0.6,0
30,S,1,490
31,S,1,490
39,S,1,362
32,S,1,455
33,S,1,488
40,S,1,455
34,S,1,486
35,S,1,439
36,S,1,490
41,S,1,405
37,S,0.8,460
36,S,0.8,176
37,S,1,486
26,T,0.4,0
38,S,0.8,485
42,S,1,378
27,S,0.8,480
38,S,0.8,399
39,S,0.8,475
39,S,1,486
28,S,0.8,476
29,T,0.2,0
40,S,1,479
43,S,1,432
41,S,1,473
40,S,0.8,440
42,S,1,487
43,S,1,450
44,S,0.6,417
45,S,0.8,476
23,T,0.2,0
41,S,0.6,371
46,S,1,463
29,S,1,306
42,S,0.8,479
47,S,1,472
48,S,1,450
49,S,1,480
30,S,1,401
44,S,1,293
31,S,1,475
50,S,1,450
51,S,1,476
52,S,1,481
53,S,1,489
32,S,0.8,424
54,S,1,482
43,S,0.6,296
55,S,1,489
56,S,1,491
57,S,1,490
44,S,1,459
58,S,1,481
33,S,1,433
59,S,1,458
45,S,0.8,311
30,T,2.980232E-08,0
31,S,1,488
