episode,successRate,rewardValue,timeRemaining
1,S,1,498
1,S,1,497
1,S,1,497
1,S,1,477
2,S,1,467
3,S,1,487
4,S,1,488
2,S,1,343
2,S,1,337
3,S,1,453
2,S,0.6,93
3,S,1,493
1,T,0.8,0
1,T,0.4,0
5,T,0.8,0
6,S,1,402
3,T,1,0
7,S,1,482
4,T,0.8,0
4,T,1,0
4,S,1,198
2,T,0.8,0
2,T,1,0
8,T,0.6,0
5,T,0.6,0
5,T,0.6,0
5,T,0.8,0
3,T,1,0
3,T,-0.2,0
9,S,0.6,122
6,T,0.6,0
6,T,2.980232E-08,0
6,T,0.6,0
4,T,0.8,0
4,T,0.6,0
10,T,0.8,0
7,T,0.8,0
7,T,0.8,0
7,T,0.8,0
5,T,1,0
5,T,0.8,0
8,S,1,458
11,T,0.2,0
8,S,1,73
8,T,2.980232E-08,0
6,T,1,0
6,T,1,0
9,T,0.6,0
12,T,0.8,0
9,T,0.8,0
9,T,1,0
7,T,1,0
7,T,0.4,0
10,T,0.8,0
8,S,1,483
13,T,0.8,0
10,T,0.6,0
11,S,1,404
14,S,1,297
15,S,1,497
10,T,0.4,0
8,T,0.6,0
11,T,0.8,0
9,T,1,0
12,T,0.6,0
16,T,0.8,0
11,T,0.8,0
9,T,0.8,0
12,T,0.6,0
10,T,0.4,0
13,T,0.8,0
17,T,0.6,0
12,T,-0.2,0
10,T,0.6,0
13,T,0.4,0
11,T,0.2,0
11,S,0.8,383
12,S,1,441
14,T,0.8,0
18,T,0.2,0
13,T,0.8,0
14,T,0.6,0
12,T,0.8,0
13,S,1,60
14,S,1,481
15,S,1,491
16,S,1,484
19,S,1,55
15,T,0.8,0
20,S,1,460
13,S,0.6,122
14,T,0.6,0
14,S,1,399
15,T,0.6,0
16,S,1,456
17,S,1,484
18,S,1,486
19,S,1,494
20,S,1,479
15,S,1,376
17,T,0.8,0
16,S,1,430
16,T,1,0
21,T,1,0
15,T,0.2,0
21,T,0.8,0
17,S,1,121
18,T,0.8,0
17,T,1,0
22,T,1,0
16,T,0.6,0
22,T,1,0
18,T,1,0
19,S,1,481
19,T,0.8,0
18,T,1,0
23,T,1,0
19,S,1,434
20,S,1,280
17,T,0.6,0
21,S,1,426
22,S,1,470
23,S,1,455
23,T,0.8,0
20,T,1,0
24,T,1,0
20,T,1,0
21,S,1,332
18,T,0.8,0
24,T,0.6,0
21,S,1,59
22,S,1,482
24,T,0.4,0
25,T,1,0
22,S,1,170
23,S,1,485
24,S,1,467
25,S,1,492
25,S,1,287
26,S,1,486
27,S,1,440
26,S,1,421
19,T,2.980232E-08,0
26,S,1,268
28,S,1,389
29,S,1,481
27,S,1,455
25,T,0.4,0
28,S,1,461
30,S,1,434
23,T,1,0
29,S,1,470
30,S,1,496
31,S,1,490
31,S,1,378
32,S,1,477
33,S,1,387
34,S,1,482
35,S,1,480
24,S,1,216
27,T,0.8,0
25,S,1,456
26,S,1,486
20,T,0.6,0
27,S,1,473
28,S,1,475
26,T,0.8,0
32,T,1,0
36,S,1,171
37,S,1,484
28,S,0.8,156
38,S,1,432
29,S,1,447
30,S,1,450
29,S,1,88
33,S,1,180
21,T,0.6,0
31,S,1,393
32,S,1,484
39,S,1,313
40,S,1,493
41,S,1,486
34,S,1,401
27,T,0.8,0
42,S,1,451
35,S,1,459
36,S,1,497
37,S,1,444
38,S,1,476
28,S,0.8,272
30,S,1,113
31,S,1,496
29,S,1,409
30,S,1,480
43,S,1,137
32,S,1,355
22,T,0.8,0
33,S,1,471
33,T,1,0
39,S,1,164
40,S,1,429
41,S,1,489
42,S,1,477
34,S,0.8,355
43,S,1,473
44,S,1,475
45,S,1,457
35,S,1,420
46,S,1,474
47,S,1,460
48,S,1,464
49,S,1,482
31,S,1,59
32,S,1,490
50,S,1,476
51,S,1,480
34,S,1,107
33,S,1,443
35,S,1,477
34,S,1,474
44,T,1,0
36,S,1,462
45,S,1,480
23,T,0.2,0
52,S,1,411
46,S,1,491
47,S,1,486
37,S,1,461
35,S,1,444
36,S,0.8,216
53,S,1,455
48,S,1,468
36,S,0.8,465
49,S,1,491
37,S,1,478
54,S,1,474
38,S,1,454
37,S,1,440
39,S,1,482
40,S,1,490
38,S,1,383
55,S,1,424
50,S,1,401
41,S,1,479
51,S,1,496
56,S,1,480
52,S,1,481
57,S,1,477
39,S,1,420
58,S,1,475
40,S,1,494
59,S,1,492
42,S,0.6,391
41,S,1,455
60,S,1,448
43,S,1,447
61,S,1,456
44,S,1,498
53,S,1,348
42,S,1,420
62,S,1,470
63,S,1,496
54,S,1,462
43,S,1,476
64,S,1,466
55,S,1,456
44,S,1,444
45,S,0.8,387
45,S,1,478
46,S,1,478
56,S,1,457
65,S,1,418
46,S,1,475
57,S,1,462
47,S,1,458
